"","V1","V2","V3","V4"
"140","OG0004837","GTP binding protein 1 / GTP binding protein 1","-1.3171213956756","-1.14651114317641"
"141","OG0004847","chromatin binding / NA","-1.27861249870732","-1.60771167130401"
"142","OG0004900","Protein of unknown function (DUF1387) / Protein of unknown function (DUF1387)","-2.25728262309966","-3.02937533665415"
"143","OG0004922","BIR domain binding / BIR domain binding","-4.16606928437289","-2.41072967821396"
"144","OG0004934","Phosphatidic acid phosphatase type 2B / Phosphatidic acid phosphatase type 2B","-1.92511327209969","1.52853763616514"
"145","OG0004937","protein serine/threonine phosphatase activity / protein serine/threonine phosphatase activity","-2.57245440205399","-3.4837635972876"
"146","OG0004972","Domain with 2 conserved Trp (W) residues / Formin-binding protein 4","2.47999168751326","1.06082131037424"
"147","OG0004978","Histone H1-delta-like / Histone H1-delta-like","5.4795013813748","6.45524053093268"
"148","OG0004995","26s proteasome non-ATPase regulatory subunit / 26s proteasome non-ATPase regulatory subunit","-1.55491141289664","-1.05018176568829"
"149","OG0005009","Signal peptide, CUB and EGF-like domain-containing protein 3 / positive regulation of smoothened signaling pathway","1.26566349860245","2.70842036264082"
"150","OG0005039","calcium ion-regulated exocytosis of neurotransmitter / NA","2.80154130042467","7.39362577692877"
"151","OG0005057","G-protein beta/gamma-subunit complex binding / G-protein beta/gamma-subunit complex binding","-1.33445683674727","1.55551800711861"
"152","OG0005065","Pyridine nucleotide-disulfide oxidoreductase domain-containing protein / Pyridine nucleotide-disulfide oxidoreductase domain-containing protein","-1.56234529994141","-2.18076522140435"
"153","OG0005079","zinc ion binding / zinc ion binding","-1.39120009329004","-2.30410837666482"
"154","OG0005139","glutamate synthase (NADH) activity. It is involved in the biological process described with oxidation-reduction process / GXGXG motif","-3.07351082551118","-17.1391820921964"
"155","OG0005170","negative regulation of brain-derived neurotrophic factor receptor signaling pathway / NA","1.05192890611205","-3.36468056071034"
"156","OG0005202","RNA splicing / RNA splicing","-2.14228329409758","-1.14020240253957"
"157","OG0005227","protein complex 5, zeta 1 subunit / protein complex 5, zeta 1 subunit","1.43738294973279","-1.34329991410371"
"158","OG0005235","DNA binding / DNA binding","1.47830695303549","-3.29295806026952"
"159","OG0005264","HD domain / HD domain","-3.12357449110903","-2.6461318581091"
"160","OG0005269","supervillin / supervillin","-9.19438568889424","-3.95727818634682"
"161","OG0005321","Translocon-associated protein, delta subunit precursor (TRAP-delta) / Translocon-associated protein, delta subunit precursor (TRAP-delta)","-2.99587356170854","-2.83580481484"
"162","OG0005407","glycine biosynthetic process from serine / glycine biosynthetic process from serine","-4.01162884954366","-4.21958413371264"
"163","OG0005424","regulation of T cell differentiation in thymus / regulation of T cell differentiation in thymus","-1.6891601778703","-3.98971720108508"
"164","OG0005468","Peptidyl-prolyl cis-trans isomerase / Peptidyl-prolyl cis-trans isomerase","-1.00501947266165","3.03903544414761"
"165","OG0005477","enoyl-CoA hydratase isomerase family / enoyl-CoA hydratase isomerase family","-1.18050820732203","-6.16379100306595"
"166","OG0005495","guanyl-nucleotide exchange factor activity / guanyl-nucleotide exchange factor activity","-1.52322632778784","-1.07044084438434"
"167","OG0005508","- / NA","-1.05689925916275","2.25754928119785"
"168","OG0005535","positive regulation of cristae formation / positive regulation of cristae formation","2.53026595813515","3.71102247895162"
"169","OG0005564","Motif C-terminal to PAS motifs (likely to contribute to PAS structural domain) / Neuronal PAS","-3.67190483882051","-9.0341245612794"
"170","OG0005608","negative regulation of meiotic chromosome separation / negative regulation of meiotic chromosome separation","-1.22418518252042","-2.14489800153915"
"171","OG0005611","structural constituent of cuticle / structural constituent of cuticle","-1.70525994886691","-32.9564172342374"
"172","OG0005685","Transcriptional regulatory protein LGE1 / NA","2.33766325342049","3.06249101799955"
"173","OG0005687","metalloendopeptidase activity / carbohydrate binding","-1.62046180176529","-1.14692408617795"
"174","OG0005693","Von Willebrand factor / Von Willebrand factor","-1.48033311191934","-1.3974888163957"
"175","OG0005698","FMN transmembrane transporter activity / FMN transmembrane transporter activity","-4.48714436133799","-1.99281328269514"
"176","OG0005716","EF-hand domain family, member / EF-hand domain family, member","1.19032656010389","7.3283934535094"
"177","OG0005731","nuclear protein 1 / nuclear protein 1","-3.53831831945332","-1.06758993798289"
"178","OG0005814","Hsp70 protein binding / DnaJ (Hsp40) homolog, subfamily C, member 8","-2.35254940308059","-1.70264351191521"
"179","OG0005825","G kinase anchoring protein 1 / G kinase anchoring protein 1","-7.98250966892238","1.03023035450138"
"180","OG0005832","regulation of mRNA export from nucleus / regulation of mRNA export from nucleus","1.25687203639978","1.09515820003825"
"181","OG0005838","calcium ion binding / calcium ion binding","-1.53296890726646","-11.3312856732933"
"182","OG0005850","pancreatic epsilon cell differentiation / pancreatic epsilon cell differentiation","-2.04209416705823","-2.70059206268517"
"183","OG0005886","ventral midline determination / ventral midline determination","-1.05903303024863","-1.35645359020425"
"184","OG0005905","acireductone dioxygenase [iron(II)-requiring] activity / acireductone dioxygenase [iron(II)-requiring] activity","-1.06573690587224","7.45812016012225"
"185","OG0005929","cysteine-type endopeptidase activity / cysteine-type endopeptidase activity","1.56760895223952","3.7108188128608"
"186","OG0005932","phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) / phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)","-1.47830695303549","-15.0616285675034"
"187","OG0005959","peptidyl-prolyl cis-trans isomerase activity / peptidyl-prolyl cis-trans isomerase activity","-3.97255596004167","-48.7861152983835"
