site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,time,file,AOI,FvFm,ratio
Star,Ssid,5,3,Ss5-3,7,low pH,control temp,LC,Initial,LC_Ssid_STAR,5,0.576,1.000
Emerald,Ofav,1,4,Eo1-4,8,low pH,high temp,LH,Initial,LH_Ofav_EMRL,1,0.564,1.000
Emerald,Ofav,2,4,Eo2-4,8,low pH,high temp,LH,Initial,LH_Ofav_EMRL,2,0.586,1.000
Emerald,Ofav,3,4,Eo3-4,8,low pH,high temp,LH,Initial,LH_Ofav_EMRL,3,0.559,1.000
Emerald,Ofav,4,4,Eo4-4,8,low pH,high temp,LH,Initial,LH_Ofav_EMRL,4,0.613,1.000
Emerald,Ofav,5,4,Eo5-4,8,low pH,high temp,LH,Initial,LH_Ofav_EMRL,5,0.596,1.000
MacN,Ofav,6,4,CR049,8,low pH,high temp,LH,Initial,LH_Ofav_MACN,6,0.616,1.000
MacN,Ofav,1,4,Mo1-4,8,low pH,high temp,LH,Initial,LH_Ofav_MACN,1,0.577,1.000
MacN,Ofav,2,4,Mo2-4,8,low pH,high temp,LH,Initial,LH_Ofav_MACN,2,0.553,1.000
MacN,Ofav,3,4,Mo3-4,8,low pH,high temp,LH,Initial,LH_Ofav_MACN,3,0.64,1.000
MacN,Ofav,4,4,Mo4-4,8,low pH,high temp,LH,Initial,LH_Ofav_MACN,4,0.589,1.000
MacN,Ofav,5,4,Mo5-4,8,low pH,high temp,LH,Initial,LH_Ofav_MACN,5,0.62,1.000
Rainbow,Ofav,1,4,Ro1-4,8,low pH,high temp,LH,Initial,LH_Ofav_RAIN,1,0.583,1.000
Rainbow,Ofav,2,4,Ro2-4,8,low pH,high temp,LH,Initial,LH_Ofav_RAIN,2,0.573,1.000
Rainbow,Ofav,3,4,Ro3-4,8,low pH,high temp,LH,Initial,LH_Ofav_RAIN,3,0.599,1.000
Rainbow,Ofav,4,4,Ro4-4,8,low pH,high temp,LH,Initial,LH_Ofav_RAIN,4,0.625,1.000
Rainbow,Ofav,5,4,Ro5-4,8,low pH,high temp,LH,Initial,LH_Ofav_RAIN,5,0.603,1.000
Star,Ofav,1,4,So1-4,8,low pH,high temp,LH,Initial,LH_Ofav_STAR,1,0.623,1.000
Star,Ofav,2,4,So2-4,8,low pH,high temp,LH,Initial,LH_Ofav_STAR,5,0.629,1.000
Star,Ofav,3,4,So3-4,8,low pH,high temp,LH,Initial,LH_Ofav_STAR,2,0.601,1.000
Star,Ofav,4,4,So4-4,8,low pH,high temp,LH,Initial,LH_Ofav_STAR,3,0.6,1.000
Star,Ofav,5,4,So5-4,8,low pH,high temp,LH,Initial,LH_Ofav_STAR,4,0.643,1.000
Emerald,Ofav,1,1,Eo1-1,1,control pH,control temp,CC,0,CC_Ofav_EMRL,1,0.339,0.603
Emerald,Ofav,2,1,Eo2-1,1,control pH,control temp,CC,0,CC_Ofav_EMRL,2,0.415,0.724
Emerald,Ofav,3,1,Eo3-1,1,control pH,control temp,CC,0,CC_Ofav_EMRL,3,0.464,0.788
Emerald,Ofav,4,1,Eo4-1,1,control pH,control temp,CC,0,CC_Ofav_EMRL,4,0.343,0.591
Emerald,Ofav,5,1,Eo5-1,1,control pH,control temp,CC,0,CC_Ofav_EMRL,5,0.399,0.675
MacN,Ofav,6,1,CR043,1,control pH,control temp,CC,0,CC_Ofav_MACN,6,0.529,0.862
MacN,Ofav,1,1,Mo1-1,1,control pH,control temp,CC,0,CC_Ofav_MACN,1,0.452,0.811
MacN,Ofav,2,1,Mo2-1,1,control pH,control temp,CC,0,CC_Ofav_MACN,2,0.48,0.865
MacN,Ofav,3,1,Mo3-1,1,control pH,control temp,CC,0,CC_Ofav_MACN,3,0.538,0.866
MacN,Ofav,4,1,Mo4-1,1,control pH,control temp,CC,0,CC_Ofav_MACN,4,0.472,0.811
MacN,Ofav,5,1,Mo5-1,1,control pH,control temp,CC,0,CC_Ofav_MACN,5,0.523,0.872
Rainbow,Ofav,1,1,Ro1-1,1,control pH,control temp,CC,0,CC_Ofav_RAIN,1,0.376,0.665
Rainbow,Ofav,2,1,Ro2-1,1,control pH,control temp,CC,0,CC_Ofav_RAIN,2,0.409,0.764
