site,species,geno,rep,sample,tank,pH,temp,treat,ramp,start,end,days,status
MacN,Ssid,4,4,Ms4-4,2,low,high,LH,4/5/21,4/19/21,5/19/21,30,1
MacN,Ssid,5,4,Ms5-4,2,low,high,LH,4/5/21,4/19/21,5/12/21,23,1
Rainbow,Ssid,1,4,Rs1-4,2,low,high,LH,4/5/21,4/19/21,4/30/21,11,1
Rainbow,Ssid,2,4,Rs2-4,2,low,high,LH,4/5/21,4/19/21,4/26/21,7,1
Rainbow,Ssid,3,4,Rs3-4,2,low,high,LH,4/5/21,4/19/21,4/26/21,7,1
Rainbow,Ssid,4,4,Rs4-4,2,low,high,LH,4/5/21,4/19/21,5/10/21,21,1
Rainbow,Ssid,5,4,Rs5-4,2,low,high,LH,4/5/21,4/19/21,5/10/21,21,1
Star,Ssid,1,4,Ss1-4,2,low,high,LH,4/5/21,4/19/21,5/10/21,21,1
Star,Ssid,2,4,Ss2-4,2,low,high,LH,4/5/21,4/19/21,5/10/21,21,1
Star,Ssid,3,4,Ss3-4,2,low,high,LH,4/5/21,4/19/21,5/10/21,21,1
Star,Ssid,4,4,Ss4-4,2,low,high,LH,4/5/21,4/19/21,5/12/21,23,1
Star,Ssid,5,4,Ss5-4,2,low,high,LH,4/5/21,4/19/21,5/19/21,30,1
Emerald,Ssid,1,3,Es1-3,7,low,high,LH,4/23/21,5/7/21,6/1/21,25,1
Emerald,Ssid,2,3,Es2-3,7,low,high,LH,4/23/21,5/7/21,5/19/21,12,1
Emerald,Ssid,3,3,Es3-3,7,low,high,LH,4/23/21,5/7/21,5/19/21,12,1
Emerald,Ssid,4,3,Es4-3,7,low,high,LH,4/23/21,5/7/21,6/1/21,25,1
Emerald,Ssid,5,3,Es5-3,7,low,high,LH,4/23/21,5/7/21,5/19/21,12,1
MacN,Ssid,1,3,Ms1-3,7,low,high,LH,4/23/21,5/7/21,5/24/21,17,1
MacN,Ssid,2,3,Ms2-3,7,low,high,LH,4/23/21,5/7/21,6/1/21,25,1
MacN,Ssid,3,3,Ms3-3,7,low,high,LH,4/23/21,5/7/21,5/19/21,12,1
MacN,Ssid,4,3,Ms4-3,7,low,high,LH,4/23/21,5/7/21,6/3/21,27,1
MacN,Ssid,5,3,Ms5-3,7,low,high,LH,4/23/21,5/7/21,6/1/21,25,1
Rainbow,Ssid,1,3,Rs1-3,7,low,high,LH,4/23/21,5/7/21,5/24/21,17,1
Rainbow,Ssid,2,3,Rs2-3,7,low,high,LH,4/23/21,5/7/21,5/19/21,12,1
Rainbow,Ssid,3,3,Rs3-3,7,low,high,LH,4/23/21,5/7/21,5/10/21,3,1
Rainbow,Ssid,4,3,Rs4-3,7,low,high,LH,4/23/21,5/7/21,6/1/21,25,1
Rainbow,Ssid,5,3,Rs5-3,7,low,high,LH,4/23/21,5/7/21,6/1/21,25,1
Star,Ssid,1,3,Ss1-3,7,low,high,LH,4/23/21,5/7/21,6/1/21,25,1
Star,Ssid,2,3,Ss2-3,7,low,high,LH,4/23/21,5/7/21,5/18/21,11,1
Star,Ssid,3,3,Ss3-3,7,low,high,LH,4/23/21,5/7/21,6/1/21,25,1
Star,Ssid,4,3,Ss4-3,7,low,high,LH,4/23/21,5/7/21,5/18/21,11,1
Star,Ssid,5,3,Ss5-3,7,low,high,LH,4/23/21,5/7/21,6/1/21,25,1
