site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,bw1,temp1,salinity1,density1,mass1,bw2,temp2,salinity2,density2,mass2,deltamonth,deltayear,percentmonth,percentyear,surfacearea,growth,growthadj
Star,Ssid,32,1,Ss1-1,3,control pH,control temp,control pH-control temp,19.2146,22.81,33.55391,1022.92025,29.52093535,19.2812,23.23,35.300455,1024.123683,29.64196338,0.121028024,1.452336293,0.409973542,4.919682507,10.989,0.132162735,0.140187585
Star,Ssid,33,1,Ss2-1,3,control pH,control temp,control pH-control temp,20.8402,22.81,33.55391,1022.92025,32.01847538,21.0452,23.23,35.300455,1024.123683,32.35384974,0.335374368,4.024492417,1.047440155,12.56928186,13.476,0.298641468,0.306666318
Star,Ssid,34,1,Ss3-1,3,control pH,control temp,control pH-control temp,22.4465,22.81,33.55391,1022.92025,34.48636326,22.6168,23.24,35.300455,1024.120778,34.76989687,0.28353361,3.402403319,0.822161525,9.865938296,11.595,0.293437113,0.301461963
Star,Ssid,35,1,Ss4-1,3,control pH,control temp,control pH-control temp,17.4098,22.82,33.55391,1022.917403,26.74803603,17.68,23.23,35.300455,1024.123683,27.18035768,0.432321654,5.187859845,1.616274381,19.39529257,14.907,0.348015016,0.356039866
Star,Ssid,36,1,Ss5-1,3,control pH,control temp,control pH-control temp,16.8302,22.83,33.55391,1022.914556,25.85751265,17.1013,23.26,35.300455,1024.114965,26.29057266,0.433060016,5.196720192,1.67479379,20.09752548,11.052,0.470206315,0.478231165
Emerald,Ofav,1,3,Eo1-3,4,low pH,control temp,low pH-control temp,14.536,22.61,33.44305,1022.892947,22.33250616,14.6562,22.71,35.23362,1024.222918,22.53289034,0.200384182,2.404610182,0.897275838,10.76731006,9.4374,0.254795832,0.229527512
Emerald,Ofav,2,3,Eo2-3,4,low pH,control temp,low pH-control temp,16.0756,22.62,33.44305,1022.890118,24.69784696,16.1543,22.7,35.23362,1024.22578,24.83615241,0.138305454,1.659665448,0.559989922,6.719879069,12.704,0.130641172,0.105372853
Emerald,Ofav,3,3,Eo3-3,4,low pH,control temp,low pH-control temp,19.9743,22.63,33.44305,1022.887288,30.68759315,20.088,22.71,35.23362,1024.222918,30.88390587,0.196312715,2.355752574,0.639713625,7.676563497,9.0937,0.259053254,0.233784935
Emerald,Ofav,4,3,Eo4-3,4,low pH,control temp,low pH-control temp,17.3411,22.63,33.44305,1022.887288,26.64206614,17.4874,22.71,35.23362,1024.222918,26.88566385,0.243597716,2.923172594,0.914334928,10.97201913,7.0173,0.41656657,0.391298251
Emerald,Ofav,5,3,Eo5-3,4,low pH,control temp,low pH-control temp,14.7733,22.64,33.44305,1022.884457,22.69698297,14.9868,22.71,35.23362,1024.222918,23.0411649,0.344181925,4.1301831,1.51642148,18.19705776,7.0275,0.587717268,0.562448949
MacN,Ofav,21,3,CR047,4,low pH,control temp,low pH-control temp,11.2504,22.73,33.44305,1022.858943,17.28433871,11.2715,22.7,35.23362,1024.22578,17.32917501,0.044836303,0.538035642,0.259404217,3.112850602,7.8732,0.068337606,0.043069287
MacN,Ofav,16,3,Mo1-3,4,low pH,control temp,low pH-control temp,11.7873,22.73,33.44305,1022.858943,18.10919485,11.708,22.7,35.23362,1024.22578,18.00026448,-0.108930367,-1.307164402,-0.601519658,-7.218235893,8.266,-0.158137479,-0.183405798
MacN,Ofav,17,3,Mo2-3,4,low pH,control temp,low pH-control temp,5.7252,22.74,33.44305,1022.856104,8.795789366,5.6656,22.7,35.23362,1024.22578,8.710479879,-0.085309486,-1.023713836,-0.969890055,-11.63868066,9.7329,-0.105180762,-0.130449081
MacN,Ofav,18,3,Mo3-3,4,low pH,control temp,low pH-control temp,12.0963,22.74,33.44305,1022.856104,18.58389347,12.2345,22.7,35.23362,1024.22578,18.8097229,0.225829432,2.709953185,1.215189016,14.58226819,14.946,0.181316284,0.156047965
MacN,Ofav,19,3,Mo4-3,4,low pH,control temp,low pH-control temp,17.8201,22.74,33.44305,1022.856104,27.37753198,17.8088,22.7,35.23362,1024.22578,27.37983516,0.002303182,0.027638179,0.008412671,0.100952048,7.8147,0.003536691,-0.021731628
MacN,Ofav,20,3,Mo5-3,4,low pH,control temp,low pH-control temp,8.3653,22.75,33.44305,1022.853264,12.85183176,8.439,22.7,35.23362,1024.22578,12.9743963,0.12256454,1.470774476,0.953673701,11.44408441,6.6611,0.22080054,0.195532221
