gene,Fish_kME
Ofaveolata001275,0
Ofaveolata001276,0
Ofaveolata001278,0
Ofaveolata001281,0
Ofaveolata001282,0
Ofaveolata001283,0
Ofaveolata001286,0
Ofaveolata001293,0
Ofaveolata001294,0
Ofaveolata001296,0.675325629980077
Ofaveolata001297,0
Ofaveolata001299,0
Ofaveolata001300,0
Ofaveolata001301,0.749527604717042
Ofaveolata001302,0
Ofaveolata001311,0.527688420560333
Ofaveolata001314,0
Ofaveolata001315,0.323916949542512
Ofaveolata001318,0
Ofaveolata001319,0
Ofaveolata001320,0
Ofaveolata001321,0.528046180413277
Ofaveolata001323,0.385764426950412
Ofaveolata001326,0
Ofaveolata001327,0
Ofaveolata001328,0
Ofaveolata001335,0
Ofaveolata001336,0
Ofaveolata001337,0.543553193047949
Ofaveolata001338,0
Ofaveolata001339,0
Ofaveolata001340,0
Ofaveolata001341,0
Ofaveolata001342,0
Ofaveolata001343,0.611764241767009
Ofaveolata001345,0.740688340926325
Ofaveolata001346,0
Ofaveolata001347,0
Ofaveolata001348,0
Ofaveolata001349,0
Ofaveolata001350,0
Ofaveolata001351,0
Ofaveolata001352,0.280582127519976
Ofaveolata001353,0
Ofaveolata001354,0
Ofaveolata001355,0
Ofaveolata001358,0.677871622192462
Ofaveolata001359,0.668100897437571
Ofaveolata001361,0
Ofaveolata001362,0
Ofaveolata001363,0
Ofaveolata001364,0.675666588843782
Ofaveolata001365,0
Ofaveolata001366,0
Ofaveolata001367,0
Ofaveolata001368,0
Ofaveolata001369,0.75280271286719
Ofaveolata001370,0
Ofaveolata001371,0
Ofaveolata001372,0
Ofaveolata001374,0.448453628502403
Ofaveolata001375,0
Ofaveolata001378,0
Ofaveolata001379,0
Ofaveolata001380,0.744218520444779
Ofaveolata001382,0
Ofaveolata001383,0
Ofaveolata001384,0.535449033967345
Ofaveolata001385,0
Ofaveolata001386,0
Ofaveolata001389,0
Ofaveolata001390,0
Ofaveolata001397,0.411508990457282
Ofaveolata001399,0
Ofaveolata001400,0
Ofaveolata001402,0
Ofaveolata001403,0
Ofaveolata001404,0.218938214124502
Ofaveolata001406,0
Ofaveolata001407,0
Ofaveolata001408,0
Ofaveolata001409,0
Ofaveolata001411,0
Ofaveolata001414,0
Ofaveolata001416,0
Ofaveolata001417,0
Ofaveolata001418,0
Ofaveolata001420,0
Ofaveolata001421,0
Ofaveolata001422,0
Ofaveolata001423,0
Ofaveolata001424,0
Ofaveolata001425,0
Ofaveolata001427,0
Ofaveolata001428,0.493142038886718
Ofaveolata001430,0
Ofaveolata001433,0.220714901874552
Ofaveolata001434,0.384828793156812
Ofaveolata001436,0
Ofaveolata001438,0
Ofaveolata001440,0
Ofaveolata001441,0.572178158249042
Ofaveolata001442,0
Ofaveolata001443,0.633404343426125
Ofaveolata001445,0
Ofaveolata001446,0
Ofaveolata001447,0
Ofaveolata001448,0
Ofaveolata001449,0
Ofaveolata001450,0
Ofaveolata001451,0
Ofaveolata001454,0
Ofaveolata001455,0
Ofaveolata001456,0
Ofaveolata001460,0
Ofaveolata001461,0
Ofaveolata001463,0
Ofaveolata001466,0
Ofaveolata001468,0
Ofaveolata001470,0
Ofaveolata001472,0
Ofaveolata001473,0
Ofaveolata001475,0
Ofaveolata001477,0.814313607808675
Ofaveolata001479,0
Ofaveolata001480,0
Ofaveolata001481,0
Ofaveolata001482,0.682941359622786
Ofaveolata001483,0.649364602925556
Ofaveolata001484,0
Ofaveolata001485,0
Ofaveolata001486,0
Ofaveolata001491,0
Ofaveolata001492,0
Ofaveolata001493,0.8689812068413
Ofaveolata001494,0
Ofaveolata001505,0
Ofaveolata001512,0.866771452922196
Ofaveolata001513,0.293491426418009
Ofaveolata001516,0
Ofaveolata001518,0
Ofaveolata001519,0
Ofaveolata001520,0
Ofaveolata001523,0
Ofaveolata001524,0.547781371186012
Ofaveolata001525,0.750219032147336
Ofaveolata001526,0
Ofaveolata001527,0.312478970428642
Ofaveolata001528,0
Ofaveolata001529,0
Ofaveolata001530,0.74801039428111
Ofaveolata001534,0
Ofaveolata001535,0
Ofaveolata001536,0
Ofaveolata001538,0
Ofaveolata001539,0
Ofaveolata001540,0
Ofaveolata001541,0
Ofaveolata001542,0
Ofaveolata001543,0
Ofaveolata001545,0
Ofaveolata001554,0
Ofaveolata001558,0
Ofaveolata001559,0
Ofaveolata001560,0
Ofaveolata001561,0
Ofaveolata001562,0
Ofaveolata001563,0.559020054390514
Ofaveolata001564,0
Ofaveolata001565,0.390544656689947
Ofaveolata001566,0
Ofaveolata001569,0
Ofaveolata001570,0
Ofaveolata001571,0
Ofaveolata001574,0
Ofaveolata001575,0
Ofaveolata001576,0
Ofaveolata001577,0.476884012952648
Ofaveolata001578,0
Ofaveolata001579,0
Ofaveolata001580,0
Ofaveolata001583,0
Ofaveolata001584,0
Ofaveolata001590,0
Ofaveolata001594,0
Ofaveolata001596,0.513119441638406
Ofaveolata001597,0.623914804346768
Ofaveolata001598,0
Ofaveolata001600,0.778737976893422
Ofaveolata001601,0.759210455631262
Ofaveolata001602,0.678200401568517
Ofaveolata001604,0
Ofaveolata001608,0
Ofaveolata001609,0
Ofaveolata001614,0.248891433707619
Ofaveolata001615,0
Ofaveolata001616,0
Ofaveolata001617,0
