"","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv.LH_CC"
"1640","Ssiderea050924",NA,-2.313971022721,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","RNA processing and modification",-3.66214970247745
"1641","Ssiderea050946",NA,1.2465675113652,NA,NA,1.08915362760623
"1642","Ssiderea050947",NA,6.88487634760599,NA,NA,5.63843106084744
"1643","Ssiderea051123",NA,1.20665064033904,"7SK snRNA binding","Transcription",2.00328603387185
"1644","Ssiderea051137",NA,-7.66361131179225,"recombination hotspot binding","Transcription",-5.11597312341913
"1645","Ssiderea051151",NA,3.56516867657028,"calcium ion-regulated exocytosis of neurotransmitter","Function Unknown",3.89149501666652
"1646","Ssiderea051173",NA,-3.21288902602769,"histone H4-K16 acetylation","Function Unknown",-6.8209193382362
"1647","Ssiderea051176",NA,4.18543132570526,"Ubiquitin-2 like Rad60 SUMO-like","Posttranslational modification, protein turnover, chaperones",2.7846240402554
"1648","Ssiderea051177",NA,-1.33339668815908,"tRNA C5-cytosine methylation","Function Unknown",-2.13568419910914
"1649","Ssiderea051213",NA,-3.6529494923367,"Component of the transcription regulatory histone acetylation (HAT) complex SAGA, a multiprotein complex that activates transcription by remodeling chromatin and mediating histone acetylation and deubiquitination. Within the SAGA complex, participates in a subcomplex that specifically deubiquitinates","Transcription",-3.36580219867074
"1650","Ssiderea051243",NA,1.73770577927045,NA,NA,2.27956012745696
"1651","Ssiderea051264",NA,-15.77291339892,"structural constituent of cytoskeleton","Cytoskeleton",-21.5052230224668
"1652","Ssiderea051431",NA,2.8017726853751,"glycerate dehydrogenase activity","Energy production and conversion",2.00393986712514
"1653","Ssiderea051440",NA,-1.54435970029635,NA,NA,-1.01019301743513
"1654","Ssiderea051443",NA,-1.21980384956545,"ribosomal large subunit assembly","Translation, ribosomal structure and biogenesis",-2.28169666267011
"1655","Ssiderea051574",NA,1.33953210478912,"Secreted frizzled-related protein","Signal transduction mechanisms",1.69421825495267
"1656","Ssiderea051622",NA,1.39891647925099,"RNA binding motif protein","RNA processing and modification",1.64007136098363
"1657","Ssiderea051670",NA,-1.48887132491577,"ADP biosynthetic process","Nucleotide transport and metabolism",-5.60565335214978
"1658","Ssiderea051699",NA,3.30018362179359,"transferase activity","Posttranslational modification, protein turnover, chaperones",4.03621185528748
