"","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"32","Ssiderea002496",1.39476743559347,1.61802869327373,"Immunoglobulin C-2 Type","Inorganic ion transport and metabolism",NA,NA
"33","Ssiderea002497",2.83415356081773,2.47518530627299,NA,NA,NA,NA
"34","Ssiderea002528",-3.97156497716633,-2.31981043282478,"Immunoglobulin C-2 Type","Signal transduction mechanisms",NA,NA
"35","Ssiderea002562",8.5721205533506,3.98445296597143,"Immunoglobulin C-2 Type","Inorganic ion transport and metabolism",NA,NA
"36","Ssiderea002621",1.60470931875112,1.17164383150517,"Immunoglobulin C-2 Type","Inorganic ion transport and metabolism",NA,NA
"37","Ssiderea002654",-1.80552112710381,-1.39848567541322,NA,NA,NA,NA
"38","Ssiderea002801",-1.64541208213315,-1.20813812099183,"Tetratricopeptide repeat","Posttranslational modification, protein turnover, chaperones",NA,NA
"39","Ssiderea002911",-2.82331334457319,-1.14832270757054,NA,NA,NA,NA
"40","Ssiderea003038",-1.25408373804756,-2.10401941353687,"Ribonuclease P","",NA,NA
"41","Ssiderea003132",-2.43629377196105,-1.98525939230265,"thioesterase binding","Posttranslational modification, protein turnover, chaperones",NA,NA
"42","Ssiderea003344",-1.04071255000046,-1.25510591362373,NA,NA,NA,NA
"43","Ssiderea003363",1.09024518689381,1.26466149568707,"SAM dependent carboxyl methyltransferase","Function Unknown",NA,NA
"44","Ssiderea003373",-1.3500513366627,-1.96522771219303,"integrin binding","Signal transduction mechanisms",NA,NA
"45","Ssiderea003526",3.39506830642255,3.27345569630182,"-","",NA,NA
"46","Ssiderea003708",-1.17101031668802,-1.34008493258589,"G-protein coupled receptor activity","Posttranslational modification, protein turnover, chaperones",NA,NA
"47","Ssiderea003741",-1.32018841226397,-2.36603652464364,"nuclear receptor transcription coactivator activity","Replication, recombination and repair",NA,NA
"48","Ssiderea003746",-2.00186324658029,-1.01772602318257,"nuclear receptor transcription coactivator activity","Replication, recombination and repair",NA,NA
"49","Ssiderea003822",1.78800142866869,1.13791111656178,"rRNA binding","Function Unknown",NA,NA
"50","Ssiderea003871",-1.11864108285626,-1.34905183084541,"positive regulation of MHC class I biosynthetic process","",NA,NA
"51","Ssiderea003873",-3.15287288188634,-2.52901094083401,NA,NA,NA,NA
"52","Ssiderea003887",-2.62196951694035,-2.11327310534496,"Fish-specific NACHT associated domain","Function Unknown",NA,NA
"53","Ssiderea003910",-1.36991338435373,-2.03768005784922,"ATPase activity, coupled to transmembrane movement of substances","Secondary metabolites biosynthesis, transport and catabolism",NA,NA
"54","Ssiderea003920",-1.06541906546477,-2.08324375076932,"cellular calcium ion homeostasis","Function Unknown",NA,NA
"55","Ssiderea003942",1.16541910827475,1.85907790673189,NA,NA,NA,NA
"56","Ssiderea003943",-1.68733075366861,-1.57245907317407,NA,NA,NA,NA
"57","Ssiderea004147",-2.08128661372815,-1.58463175407517,"Endoplasmic reticulum to nucleus signaling","Signal transduction mechanisms",NA,NA
"58","Ssiderea004283",-2.34164135097166,-1.07724561224373,NA,NA,NA,NA
"59","Ssiderea004302",-1.37580325335625,-2.38602023012903,"regulation of mitotic cell cycle","Posttranslational modification, protein turnover, chaperones",NA,NA
"60","Ssiderea004440",-1.34475961487745,-1.40834641766688,NA,NA,NA,NA
"61","Ssiderea004449",1.11564645017284,1.36006674222869,"protein glycosylation in Golgi","Function Unknown",NA,NA
"62","Ssiderea004533",1.97504623412737,2.24105593428402,"cysteine-type peptidase activity","Posttranslational modification, protein turnover, chaperones",NA,NA
"63","Ssiderea004542",2.38263048089432,1.18961919105555,NA,NA,NA,NA
"64","Ssiderea004652",-2.21644465041948,-1.53374045209113,NA,NA,NA,NA
"65","Ssiderea004723",-1.16541910827475,-1.04876616529814,"larval turning behavior","Inorganic ion transport and metabolism",NA,NA
"66","Ssiderea004734",-2.5173503322905,-1.76043444797489,"Ion channel activity. It is involved in the biological process described with ion transport","Inorganic ion transport and metabolism",NA,NA
"67","Ssiderea004833",4.2256795676156,1.29459277276932,NA,NA,NA,NA
"68","Ssiderea004837",2.47676924933633,2.78567696856172,NA,NA,NA,NA
"69","Ssiderea004900",-1.06971405805015,-2.04357015481988,NA,NA,NA,NA
"70","Ssiderea004908",1.26412274069948,1.32755107223157,"Belongs to the enoyl-CoA hydratase isomerase family","Lipid transport and metabolism",NA,NA
"71","Ssiderea005001",-3.74485215298299,-9.07545518755179,"regulation of mitotic cell cycle","Posttranslational modification, protein turnover, chaperones",NA,NA
"72","Ssiderea005002",-1.61891471539368,-2.6967047687994,"regulation of mitotic cell cycle","Posttranslational modification, protein turnover, chaperones",NA,NA
"73","Ssiderea005039",-1.7449251305367,-1.44079900059809,"carbohydrate binding","Signal transduction mechanisms",NA,NA
"74","Ssiderea005044",-1.65232780448518,-1.96630674651578,NA,NA,NA,NA
"75","Ssiderea005272",-1.73360795026693,-1.6663307840378,"endocytic recycling","Intracellular trafficking, secretion, and vesicular transport",NA,NA
"76","Ssiderea005375",8.45219589153796,1.26860581651639,NA,NA,NA,NA
"77","Ssiderea005418",-1.14750777432516,-1.69681583504487,NA,NA,NA,NA
"78","Ssiderea005419",1.72425627534481,2.97030343953845,NA,NA,NA,NA
"79","Ssiderea005706",1.49727218782416,1.01916539443909,"mRNA export","RNA processing and modification",NA,NA
"80","Ssiderea005709",2.00882760669675,2.18809462909408,NA,NA,NA,NA
"81","Ssiderea005722",-1.9829625674223,-1.0037724011458,NA,NA,NA,NA
"82","Ssiderea005770",-3.34323013603563,-2.35113592889506,NA,NA,NA,NA
"83","Ssiderea005797",1.10470681106869,2.29584467607215,NA,NA,NA,NA
"84","Ssiderea005820",-1.83988432384562,-1.10521813589607,"e3 ubiquitin-protein ligase","Posttranslational modification, protein turnover, chaperones",NA,NA
"85","Ssiderea005824",1.27019020741627,1.46794817597353,"DNA replication-independent nucleosome assembly","Chromatin structure and dynamics",NA,NA
"86","Ssiderea005825",-1.23317884720598,-2.18429690498271,NA,NA,NA,NA
"87","Ssiderea005881",1.997323873044,1.4639684246702,"WD40 repeats","Amino acid transport and metabolism",NA,NA
"88","Ssiderea005884",1.41433174608957,1.34008493258589,"TBCC domain-containing protein 1","Function Unknown",NA,NA
"89","Ssiderea005885",1.62285079186534,1.25843782158755,NA,NA,NA,NA
"90","Ssiderea006059",-1.14382884330845,-1.13970533883794,NA,NA,NA,NA
