"row_label","comparison","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv_x","lpv_y","rel_class","abs_x","abs_y","delta_log10p","p_x","p_y","p_ratio","x_axis_name","y_axis_name","x_col","y_col","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","lpv.LH_CC"
"OA+Bleaching vs OA_24","OA+Bleaching vs OA","Ssiderea023369",1.01954821873977,NA,"L-lactate","Energy production and conversion",1.01954821873977,-3.13225009053168,"Inverse",1.01954821873977,3.13225009053168,2.11270187179191,0.0955986548090503,0.000737479426812024,129.628910764744,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-3.13225009053168
"OA+Bleaching vs OA_25","OA+Bleaching vs OA","Ssiderea023516",1.03812050527686,NA,"ATP:ADP antiporter activity","Energy production and conversion",1.03812050527686,-2.77470265212246,"Inverse",1.03812050527686,2.77470265212246,1.73658214684559,0.0915966298342009,0.00167995383641618,54.5233016816716,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.77470265212246
"OA+Bleaching vs OA_26","OA+Bleaching vs OA","Ssiderea025748",1.05726789148635,NA,NA,NA,1.05726789148635,-3.76872154823646,"Inverse",1.05726789148635,3.76872154823646,2.71145365675011,0.0876460016189116,0.000170325021237798,514.580893529114,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-3.76872154823646
"OA+Bleaching vs OA_27","OA+Bleaching vs OA","Ssiderea028103",1.10052889977246,NA,"Protein phosphatase 1, regulatory subunit","RNA processing and modification",1.10052889977246,-1.82471781516513,"Inverse",1.10052889977246,1.82471781516513,0.724188915392664,0.0793361461428462,0.0149720815799563,5.29893894306964,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.82471781516513
"OA+Bleaching vs OA_28","OA+Bleaching vs OA","Ssiderea028122",1.08867647140721,NA,NA,NA,1.08867647140721,-3.90065960234872,"Inverse",1.08867647140721,3.90065960234872,2.81198313094151,0.0815311425817965,0.000125701481905623,648.609239491784,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-3.90065960234872
"OA+Bleaching vs OA_29","OA+Bleaching vs OA","Ssiderea030049",1.07996317095759,NA,"Initiation factor 5a","Translation, ribosomal structure and biogenesis",1.07996317095759,-23.0406372025859,"Inverse",1.07996317095759,23.0406372025859,21.9606740316283,0.0831834309328191,9.10673706205709e-24,9.13427392994578e+21,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-23.0406372025859
"OA+Bleaching vs OA_30","OA+Bleaching vs OA","Ssiderea031617",1.10052889977246,NA,"WAP four-disulfide core domain","Extracellular structures",1.10052889977246,-2.28169666267011,"Inverse",1.10052889977246,2.28169666267011,1.18116776289765,0.0793361461428462,0.00522761189302798,15.1763649953923,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.28169666267011
"OA+Bleaching vs OA_31","OA+Bleaching vs OA","Ssiderea036521",1.3250858770518,NA,"CDGSH iron sulfur domain 3","Function Unknown",1.3250858770518,-1.64676245712149,"Inverse",1.3250858770518,1.64676245712149,0.321676580069693,0.0473057707650611,0.0225547253415789,2.09737738095415,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.64676245712149
"OA+Bleaching vs OA_32","OA+Bleaching vs OA","Ssiderea039123",1.24255951172476,NA,"ABRA C-terminal like","Function Unknown",1.24255951172476,-2.31662961636602,"Inverse",1.24255951172476,2.31662961636602,1.07407010464126,0.0572058559633218,0.00482358997223764,11.8596017266336,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.31662961636602
"OA+Bleaching vs OA_33","OA+Bleaching vs OA","Ssiderea039355",1.88340791161636,NA,"60s ribosomal protein","Translation, ribosomal structure and biogenesis",1.88340791161636,-1.96831023759129,"Inverse",1.88340791161636,1.96831023759129,0.0849023259749271,0.0130795284959263,0.0107569651696111,1.21591250782112,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.96831023759129
"OA+Bleaching vs OA_34","OA+Bleaching vs OA","Ssiderea039439",1.19052299173271,NA,"Ribosomal protein L14p/L23e","Translation, ribosomal structure and biogenesis",1.19052299173271,-1.13585284508575,"Inverse",1.19052299173271,1.13585284508575,0.0546701466469619,0.0644877178895055,0.073138686222232,1.13414908475362,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.13585284508575
