"","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"1325","Ofaveolata016403",NA,NA,NA,NA,-1.02936908729393,-3.99091606416009
"1326","Ofaveolata016426",NA,NA,NA,NA,-1.61907144789257,-1.82266592636846
"1327","Ofaveolata016446",NA,NA,NA,NA,-1.18268228914491,-1.45290408809174
"1328","Ofaveolata016485",NA,NA,"Methyltransferase domain","Secondary metabolites biosynthesis, transport and catabolism",-1.40177672181288,-4.9336447348038
"1329","Ofaveolata016488",NA,NA,"Methyltransferase domain","Secondary metabolites biosynthesis, transport and catabolism",1.69054220733805,2.42532230729019
"1330","Ofaveolata016489",NA,NA,"Methyltransferase domain","Secondary metabolites biosynthesis, transport and catabolism",1.10289090281711,1.68318434426616
"1331","Ofaveolata016495",NA,NA,NA,NA,-1.40681316451248,-1.35871806527529
"1332","Ofaveolata016500",NA,NA,"Domain of unknown function (DUF4062)",NA,-2.61942459562895,-1.73670216680012
"1333","Ofaveolata016513",NA,NA,NA,NA,-1.14596339150317,-2.73211723394071
"1334","Ofaveolata016520",NA,NA,"proteasome assembly","Posttranslational modification, protein turnover, chaperones",-1.15767186061847,-1.63628975478318
"1335","Ofaveolata016535",NA,NA,"RNA secondary structure unwinding","RNA processing and modification",-1.35651967108797,-1.20476558514207
"1336","Ofaveolata016544",NA,NA,"SH3 domain-binding protein 5-like","Signal transduction mechanisms",2.36695705481166,1.22849751617566
"1337","Ofaveolata016556",NA,NA,"SAM dependent carboxyl methyltransferase",NA,1.05186296496519,1.47259987820759
"1338","Ofaveolata016568",NA,NA,NA,NA,1.02215842756938,2.9942807572664
"1339","Ofaveolata016570",NA,NA,NA,NA,-1.05047876035806,-3.49472717757605
"1340","Ofaveolata016598",NA,NA,NA,NA,1.51557885643862,7.38339413340196
"1341","Ofaveolata016655",NA,NA,"structural constituent of cytoskeleton","Cytoskeleton",-1.15763400569088,-3.99078970777473
"1342","Ofaveolata016670",NA,NA,"proton transmembrane transport",NA,-3.03958270249677,-4.50343654335225
"1343","Ofaveolata016671",NA,NA,"NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 4",NA,-3.03320800125096,-7.06271856729252
"1344","Ofaveolata016708",NA,NA,"plasmacytoid dendritic cell antigen processing and presentation","",2.23364974482043,1.06127506986659
"1345","Ofaveolata016772",NA,NA,NA,NA,1.36729306104848,1.90070262522025
"1346","Ofaveolata016792",NA,NA,"endocytosis","Defense mechanisms",1.31552698551899,2.81453867656728
