"","comparison","gene","lpv.Star_Emerald","lpv.MacN_Emerald","lpv.Star_Rainbow","lpv.MacN_Rainbow","annot","KOG"
"134","urban_reef","Ofaveolata023677",-2.02873731707772,-8.14320771513423,-2.36442207240313,-7.89607533474866,NA,NA
"135","urban_reef","Ofaveolata023785",2.13178611035138,3.36297818418784,2.11061649041264,3.07342298046477,"Carbonic anhydrase","Inorganic ion transport and metabolism"
"136","urban_reef","Ofaveolata024042",-1.76823179016684,-1.2293997145175,-1.7916723441275,-1.20410609456078,NA,NA
"137","urban_reef","Ofaveolata024161",2.74030986071555,7.02302595275622,1.30269068633056,3.82846693622248,"Phospholipase/Carboxylesterase","Lipid transport and metabolism"
"138","urban_reef","Ofaveolata024404",-4.48179913307041,-13.3096694894314,-2.22395826166942,-7.99467406922253,"negative regulation of chemokine (C-C motif) ligand 5 production","Posttranslational modification, protein turnover, chaperones"
"139","urban_reef","Ofaveolata024504",2.91939442833179,3.27544591149945,2.43606763796451,2.59704338903894,NA,NA
"140","urban_reef","Ofaveolata024680",-3.27663965288248,-5.36165741920021,-3.71020535387804,-5.63201824298273,"phosphoenolpyruvate carboxykinase activity","Energy production and conversion"
"141","urban_reef","Ofaveolata024843",-2.22192249895419,-2.94844428759541,-1.19326593821208,-1.49723022800494,NA,NA
"142","urban_reef","Ofaveolata024964",2.05204229207759,3.25272914649585,1.01927489321814,1.62445675602259,"cysteine-type endopeptidase activity","Posttranslational modification, protein turnover, chaperones"
"143","urban_reef","Ofaveolata025135",-1.57446501397831,-2.74818624356135,-1.00642458372396,-1.72122778501057,"Collagen triple helix",NA
"144","urban_reef","Ofaveolata025330",-5.95223725764387,2.05342009186028,-4.2655889202669,2.42164433092228,NA,NA
"145","urban_reef","Ofaveolata025431",1.4540404402317,2.25540296232859,6.3700699070655,8.04621635309167,"semaphorin receptor binding","Signal transduction mechanisms"
"146","urban_reef","Ofaveolata025522",1.78204616969268,4.17130792797239,8.45426204920095,11.7106904312673,"Protein tyrosine kinase","Signal transduction mechanisms"
"147","urban_reef","Ofaveolata025791",1.22915534250308,10.3168789266794,1.24699275571798,8.9210490383191,NA,NA
"148","urban_reef","Ofaveolata026102",-4.78659754030662,-3.0968547589313,-2.97442146834337,-1.58748563493555,NA,NA
"149","urban_reef","Ofaveolata026133",1.27503467696254,1.54744516578722,1.36843107667474,1.55439671237496,"methyltransferase","Secondary metabolites biosynthesis, transport and catabolism"
"150","urban_reef","Ofaveolata026149",1.12019703938352,13.1532389391467,1.21685327533111,11.4629524659099,"Cleavage and polyadenylation","RNA processing and modification"
"151","urban_reef","Ofaveolata026401",-1.00257864576173,-3.15573071919696,-1.69512396311876,-4.01527067050454,"V-maf avian musculoaponeurotic fibrosarcoma oncogene homolog","Transcription"
"152","urban_reef","Ofaveolata026525",3.92758346627215,21.1312857756691,4.0970490648654,18.9541326273458,"Kelch motif","Signal transduction mechanisms"
"153","urban_reef","Ofaveolata027037",-1.41892617122333,-4.00043055009046,-1.071303453347,-2.94858709524618,NA,NA
"154","urban_reef","Ofaveolata027102",-1.40562824703888,-8.15460487532656,-1.192311925285,-6.8209299042565,NA,NA
"155","urban_reef","Ofaveolata027116",1.18506506765469,8.37590309323546,1.67311865836163,8.44614011183251,"protein tyrosine kinase collagen receptor activity",""
"156","urban_reef","Ofaveolata027149",1.4562284821258,9.70150453100501,1.64562595736192,8.87869170346904,NA,NA
"157","urban_reef","Ofaveolata027211",-1.14008111779966,-3.32033975704574,-2.71551238101494,-5.52191811083928,"phosphoglucomutase activity","Carbohydrate transport and metabolism"
"158","urban_reef","Ofaveolata027251",-1.03614453832414,-1.50950415169801,-1.5358844894583,-1.97869467664555,"Polysaccharide deacetylase",NA
"159","urban_reef","Ofaveolata027354",3.25142360116548,4.24628214378382,2.4162879068065,3.04558771509712,NA,NA
"160","urban_reef","Ofaveolata027358",3.65609004508927,5.87670744982701,3.19177498155131,4.96462796656613,NA,NA
"161","urban_reef","Ofaveolata027439",-1.28747003639832,-3.98369242834243,-1.62141311406436,-4.1445359445686,NA,NA
"162","urban_reef","Ofaveolata027478",-2.07315015214516,-4.41525084869702,-2.92550574855512,-5.34813330449604,NA,NA
"163","urban_reef","Ofaveolata027573",1.34593828430568,3.17928510682977,1.21297909751406,2.6381219835705,"Threonine dehydratase","Amino acid transport and metabolism"
"164","urban_reef","Ofaveolata027709",-4.10033577077368,-1.64226776598066,-5.27488821226651,-2.6014782598576,"spindle assembly",NA
"165","urban_reef","Ofaveolata027716",-2.25506695117576,-6.2194232254895,-1.30748192781285,-3.90031067077679,NA,NA
"166","urban_reef","Ofaveolata027834",1.78750590947725,2.43316138041926,6.64949245085464,7.91942527452774,"inhibin, beta A","Signal transduction mechanisms"
"167","urban_reef","Ofaveolata027844",-1.24079821832667,-2.21225007277382,-1.24494850534584,-2.01620259489558,"axoneme assembly",NA
"168","urban_reef","Ofaveolata027984",3.04148116200445,1.53712858375729,3.04782811546325,1.6353477002862,"Pyruvate formate lyase-like","Inorganic ion transport and metabolism"
"169","urban_reef","Ofaveolata028038",1.45804648736567,1.93578118327905,3.63475274981365,4.35520233687487,NA,NA
"170","urban_reef","Ofaveolata028042",2.91939442833179,7.9642552301296,3.33865686789449,7.84520813562968,NA,NA
"171","urban_reef","Ofaveolata028262",-4.00848282077044,-4.41205818160977,-5.8901811808993,-6.40926595176214,"GRAM domain containing 1B",NA
"172","urban_reef","Ofaveolata029048",1.32241561711324,1.70735238292815,1.33671074270397,1.60880155264773,NA,NA
"173","urban_reef","Ofaveolata029189",-1.21126961711735,-2.00033711839504,-1.50588889911568,-2.21603346297224,"betaine-homocysteine S-methyltransferase activity","Amino acid transport and metabolism"
"174","urban_reef","Ofaveolata029192",2.31983409022462,4.30259785382713,1.04822886784771,2.08618144887715,"MAC/Perforin domain",NA
"175","urban_reef","Ofaveolata029294",-1.48854505476509,-3.71889475699177,-2.98340707892241,-5.70945210637476,"Belongs to the oxygen-dependent FAD-linked oxidoreductase family","Energy production and conversion"
"176","urban_reef","Ofaveolata029562",-3.05123814262532,-3.02396064437649,-1.63124334572439,-1.47064709533321,NA,NA
"177","urban_reef","Ofaveolata029612",1.97220367268779,5.9858869321397,1.05729447147237,3.69073215901189,NA,NA
"178","urban_reef","Ofaveolata029633",1.9748457775919,2.80534462744387,5.01870039319102,6.28243404313056,"Flavin-binding monooxygenase-like","Energy production and conversion"
"179","urban_reef","Ofaveolata029695",-3.25142360116548,-1.80230831267456,-3.26766861050116,-1.79859592846212,"Ribosomal protein S16","Translation, ribosomal structure and biogenesis"
"180","urban_reef","Ofaveolata029700",2.18121815971159,3.59034242821474,1.75324810127948,2.74844034807476,"serotonin receptor activity","Signal transduction mechanisms"
"181","urban_reef","Ofaveolata029768",1.24226618296039,2.43850259518788,1.03013112997755,1.90344803972781,"calcium ion binding","Signal transduction mechanisms"
"182","urban_reef","Ofaveolata029851",4.32644058365297,5.81921816189365,1.51277827305226,2.13782782478,"Lim homeobox","Transcription"
"183","urban_reef","Ofaveolata029965",-1.25668209247798,-4.71102038483561,-1.27656241524442,-4.20417539379298,NA,NA
